faculty_name,latitude,longitude,color
Belles Arts,41.38340,2.11380,#E6194B
Biologia,41.38573,2.12098,#3CB44B
Ciències de la Terra,41.38970,2.17140,#0082C8
Dret,41.38770,2.12070,#F58231
Economia i Empresa,41.38585,2.11470,#911EB4
Educació,41.39210,2.12260,#46F0F0
Farmàcia i Ciències de la Alimentació,41.38580,2.12270,#F032E6
Filologia i Comunicació,41.38655,2.16410,#FABEBE
Filosofia,41.38440,2.16760,#008080
Física,41.38453,2.11715,#AA6E28
Geografia i Història,41.38345,2.16580,#FFD8B1
Informació i Mitjans Audiovisuals,41.38150,2.13978,#000075
Infermeria,41.34641,2.10721,#808000
Matemàtiques i Informàtica,41.38740,2.16530,#9A6324
Medicina i Ciències de la Salut,41.38980,2.15270,#4363D8
Psicologia,41.43804,2.14325,#FFE119
Química,41.38544,2.11803,#DCBEFF
